Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Tagboard,6/13/2023,"$4,000,000","$17,000,000",, NBA Equity,https://www.geekwire.com/2023/tagboard-lands-4m-to-boost-cloud-production-studio-build-off-partnerships-with-espn-nba/
Carta Healthcare,6/8/2023,"$25,000,000","$46,000,000",,,https://www.bizjournals.com/portland/inno/stories/fundings/2023/06/08/ai-powered-health-care-carta.html
Mozart Therapeutics ,6/7/2023,"$25,000,000","$80,000,000",,,https://www.geekwire.com/2023/mozart-therapeutics-lands-25m-to-boost-development-of-remedies-for-celiac-and-crohns-disease/
Nori,6/6/2023,"$6,250,000","$17,250,000",,"M13, Toyota Ventures, Placeholder, Cargill",https://www.geekwire.com/2023/carbon-removal-startup-nori-raises-6-25m-from-toyota-and-others-names-new-ceo/
Hydrolix,6/2/2023,"$20,000,000",,Series A,Nava Ventures,https://www.bizjournals.com/portland/inno/stories/news/2023/06/05/hydrolix-data-startup-investors-20m.html
Maximal Learning,5/31/2023,"$7,000,000","$7,000,000",Seed,Trilogy Equity Partners,https://www.geekwire.com/2023/microsoft-vets-lead-secretive-education-startup-using-generative-ai-to-help-students-learn/
Strike Graph,5/22/2023,"$7,000,000","$18,900,000",,Bamcap,https://www.geekwire.com/2023/compliance-automation-startup-strike-graph-lands-7m-to-expand-certification-offerings/
OncoResponse,5/18/2023,"$27,000,000",,,Rivevest Venture Partners,https://www.geekwire.com/2023/oncoresponse-lands-27m-to-advance-development-of-antibody-based-treatments-for-cancer/
Groopit,5/18/2023,"$3,500,000",,,WestRiver Group,https://www.geekwire.com/2023/employee-data-crowdsourcing-startup-groopit-raises-3-5m-plans-to-develop-generative-ai-tools/
Glowforge,5/17/2023,"$20,000,000","$135,000,000",Series E,DFJ Growth and Foundry Group,https://www.geekwire.com/2023/3d-laser-printer-startup-glowforge-lands-20m-to-boost-product-development-grow-subscriptions/
Union AI,5/17/2023,"$19,100,000",,Series A,,https://www.geekwire.com/2023/workflow-orchestration-startup-union-ai-which-created-flyte-lands-19-1m/
Stacklok,5/17/2023,"$17,500,000",,Series A,Madrona Venture Group,https://www.geekwire.com/2023/heptio-founder-leads-stacklok-a-new-software-supply-chain-startup-that-raised-17-5m/
Glassdome,5/17/2023,"$8,600,000",,Series A,Atinum Investment,https://www.bizjournals.com/portland/inno/stories/fundings/2023/05/17/glassdome-series-a-ev-battery-software.html
Cascade Health,5/15/2023,"$2,000,000",,Pre-Seed,AlleyCorp,https://www.geekwire.com/2023/seattle-startup-raises-2m-to-help-to-make-healthcare-pricing-data-more-transparent/
Parse Biosciences,12/14/2023,"$50,000,000",,,Soleus Capital,https://www.geekwire.com/2023/parse-biosciences-raises-50m-for-single-cell-sequencing-tech/
Lassen Peak,12/14/2023,"$6,000,000","$32,000,000",Series A,Madrona Venture Group,https://www.geekwire.com/2023/high-tech-pat-downs-startup-lands-6m-to-develop-handheld-device-for-detecting-concealed-weapons/
Zuper,12/13/2023,"$32,000,000","$53,000,000",Series B,Fuse,https://www.geekwire.com/2023/field-operations-software-startup-zuper-raises-32m/
Transparent Path,12/12/2023,"$1,600,000",,Seed,,https://xparent.io/transparent-path-secures-1-6-million-seed-funding
Spectrum Effect,12/8/2023,"$3,000,000",,,,https://www.geekwire.com/2023/tech-moves-nordstrom-names-chief-information-security-officer-meta-research-scientist-joins-ai2/
Carbon,12/8/2023,"$1,350,000","$1,350,000",Seed,,https://www.geekwire.com/2023/seattle-startup-carbon-raises-1-3m-to-help-developers-manage-external-data-for-llms/
Rhythms,12/7/2023,"$26,000,000","$26,000,000",Seed,"Madrona Venture Group, Greenoaks",https://www.geekwire.com/2023/seattle-founder-vetri-vellore-who-sold-his-last-startup-to-microsoft-raises-26m-for-new-ai-company/
LevelTen,12/7/2023,"$10,000,000","$72,300,000",Series C,,https://www.geekwire.com/2023/levelten-which-helps-facilitate-clean-energy-deals-adds-10m-to-series-c-round/
Carbon Robotics,12/6/2023,"$8,000,000","$80,000,000",Series C,,https://www.geekwire.com/2023/carbon-robotics-raises-additional-8m-as-maker-of-ai-powered-weed-zapper-eyes-new-ag-tech-product/
Spiffy AI,12/4/2023,"$6,000,000","$6,000,000",Seed,,https://www.geekwire.com/2023/walmart-tech-vet-ai2-research-scientists-are-behind-new-seattle-startup-spiffy/
Joon Care,12/4/2023,"$6,000,000","$9,500,000",,,https://www.geekwire.com/2023/seattle-startup-joon-raises-6m-to-expand-online-mental-health-therapy-for-youth/
Levanta,12/1/2023,"$1,000,000",,,Long Run Capital,https://www.geekwire.com/2023/levanta-a-startup-that-connects-influencers-and-amazon-sellers-for-affiliate-partnerships-raises-1m/
Retrocasual,11/30/2023,"$5,300,000","$9,750,000",,,https://www.geekwire.com/2023/manufacturing-software-startup-retrocasual-raises-5-3m-to-help-workers-assemble-products/
Expanso,11/21/2023,"$7,500,000","$7,500,000",Seed,"General Catalyst, Hetz Ventures",https://www.geekwire.com/2023/expanso-a-distributed-data-processing-startup-led-by-google-and-microsoft-vets-raises-7-5m/
OCOchem,11/15/2023,"$5,000,000",,,TO VC,https://www.geekwire.com/2023/climate-startup-ocochem-which-recycles-co2-into-fuels-and-chemicals-lands-5m/
Canopy,11/15/2023,"$4,000,000",,Seed,"Kindred Ventures, Village Global",https://www.geekwire.com/2023/seattle-data-infrastructure-startup-led-by-fabric-co-founder-emerges-from-stealth-with-4m/
Omorpho,11/13/2023,"$3,000,000",,,KB Partners,https://www.bizjournals.com/portland/inno/stories/fundings/2023/11/13/omorpho-3m-investors-kb-partners.html?utm_source=st&utm_medium=en&utm_campaign=inno&ana=e_n&utm_content=po
Zuplo,11/8/2023,"$9,000,000","$9,000,000",Seed,Trilogy Equity Partners,https://www.geekwire.com/2023/seattle-area-startup-zuplo-lands-9m-to-help-companies-launch-and-manage-their-apis/
KeySavvy,11/6/2023,"$2,000,000","$2,000,000",Seed,,https://www.geekwire.com/2023/porsche-invests-in-seattle-startup-keysavvy-which-aims-to-safeguard-used-car-sales/
Tapp Finance,11/6/2023,"$300,000",,,,https://www.geekwire.com/2023/seattle-fintech-startup-aims-to-help-everyday-investors-sell-call-options/
iSpot,4/27/2022,"$325,000,000","$383,000,000",,Goldman Sachs,https://www.geekwire.com/2022/goldman-sachs-will-invest-325m-in-ispot-helping-to-break-nielsens-lock-on-tv-ad-measurement/
BattGenie,4/27/2022,"$1,500,000","$1,500,000",Seed,Powerhouse Ventures and VoLo Earth Ventures,https://www.geekwire.com/2022/climate-tech-startup-funding-uw-spinoff-battgenie-and-microsoft-vet-raise-fresh-cash/
Copper,4/26/2022,"$29,000,000","$42,300,000",Series A,Flat Ventures,https://www.geekwire.com/2022/copper-a-banking-app-for-teens-with-nearly-1m-users-lands-29m-to-expand-into-investing/
Indicio,4/25/2022,"$3,500,000","$3,500,000",Seed,Hard Yaka,https://www.geekwire.com/2022/indicio-lands-3-5m-to-help-companies-verify-digital-credentials-using-blockchain-tech/
Agility Robotics,4/22/2022,"$150,000,000",,,DCVC and Playground Global,https://www.geekwire.com/2022/agility-robotics-raises-150m-from-amazon-and-others-to-build-robots-used-in-the-workplace/
Convoy,4/21/2022,"$260,000,000","$3,800,000,000",Series E,Baillie Gifford,https://www.geekwire.com/2022/convoy-valued-at-3-8b-after-raising-260m-to-hit-the-gas-on-digital-freight-marketplace/
Flexe,4/21/2022,"$67,900,000",,,,https://www.geekwire.com/2022/flexe-is-raising-more-cash-as-investors-continue-betting-big-on-logistics-startups/
Statsig,4/20/2022,"$43,000,000","$53,000,000",Series B,Sequoia Capital,https://www.geekwire.com/2022/statsig-raises-43m-series-b-round-for-rapid-live-testing-and-analysis-of-new-product-features/
One More Game,4/20/2022,"$22,000,000",,Series A,Lightspeed Venture Partners,https://www.geekwire.com/2022/funding-news-lightspeed-andreessen-horowitz-back-22m-round-for-seattle-studio-one-more-game/
OneIDLab,4/20/2022,"$2,200,000",,,Rogue Venture Partners and Columba Ventures Corp,https://www.geekwire.com/2022/funding-news-lightspeed-andreessen-horowitz-back-22m-round-for-seattle-studio-one-more-game/
Picket Homes,4/20/2022,,,Series A,RET Ventures,https://www.geekwire.com/2022/funding-news-lightspeed-andreessen-horowitz-back-22m-round-for-seattle-studio-one-more-game/
Shipium,4/14/2022,"$27,000,000","$35,000,000",Series A,Insight Partners,https://www.geekwire.com/2022/solving-the-prime-problem-shipium-lands-27m-to-help-online-retailers-compete-with-amazon/
Formations,4/13/2022,"$8,000,000","$11,000,000",Series A,,https://www.geekwire.com/2022/funding-news-fintech-startup-for-freelancers-lands-8m-electric-car-data-platform-raises-4-5m/
Recurrent,4/13/2022,"$4,500,000",,,,https://www.geekwire.com/2022/funding-news-fintech-startup-for-freelancers-lands-8m-electric-car-data-platform-raises-4-5m/
CorneaGen,4/12/2022,"$120,000,000",,,Deerfield Management,https://www.geekwire.com/2022/cell-therapy-biotech-raises-120m-to-advance-therapy-to-treat-common-cornea-condition/
Aurion Biotech,4/12/2022,"$12,000,000",,,Deerfield Management,https://www.geekwire.com/2022/cell-therapy-biotech-raises-120m-to-advance-therapy-to-treat-common-cornea-condition/
Union.ai,4/12/2022,"$10,000,000","$10,000,000",Seed,NEA,https://www.geekwire.com/2022/funding-news-former-amazon-vp-raises-3m-for-beauty-shopping-startup-tagboard-lands-more-cash/
Trendio,4/12/2022,"$3,000,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2022/funding-news-former-amazon-vp-raises-3m-for-beauty-shopping-startup-tagboard-lands-more-cash/
ModusBox,4/28/2022,"$7,500,000",,Series A,Patamar Capital and Choice Bank,https://www.geekwire.com/2022/seattle-startup-modusbox-raises-7-5m-to-meet-demand-for-its-financial-services-integration-tech/
Possible Finance,5/3/2022,"$20,000,000","$45,000,000",,,https://www.geekwire.com/2022/seattle-fintech-startup-possible-finance-lands-20m-to-launch-safest-credit-card-ever/
AccelByte,5/3/2022,"$60,000,000",,Series B,SoftBank,https://www.geekwire.com/2022/softbank-sony-back-60m-round-for-gaming-infrastructure-software-startup-accelbyte/
Boulder Care,5/22/2024,"$35,000,000","$85,000,000",C,Advance Venture Partners,https://www.geekwire.com/2024/online-addiction-care-startup-boulder-care-raises-35m/
Overland,5/20/2024,"$10,000,000",,Seed,Point72 Ventures,https://www.geekwire.com/2024/uw-spinout-overland-ai-raises-10m-for-off-road-self-driving-tech-used-by-u-s-military/
Manifold Freight,5/20/2024,"$1,900,000",,Seed,New Stack; Y Combinator,https://www.geekwire.com/2024/yc-grad-manifold-freight-raises-1-9m-for-trucking-logistics-software/
Aerial,5/13/2024,"$2,000,000",,Pre-seed,Fuse,https://www.geekwire.com/2024/quickbooks-for-legal-docs-seattle-startup-aerial-raises-2m-to-help-companies-organize-key-data/
Dropzone AI,4/25/2024,"$16,800,000","$20,000,000",A,Theory Ventures,https://www.geekwire.com/2024/seattle-cybersecurity-startup-dropzone-ai-raises-16-8m/
Provenance Chain Network,4/19/2024,"$4,000,000",,,,https://www.bizjournals.com/portland/inno/stories/fundings/2024/04/19/portland-blockchain-startup-snags-4m-from-investor.html
Reperio Health,4/18/2024,"$14,000,000","$20,000,000",,,https://www.geekwire.com/2024/in-home-health-screening-startup-reperio-raises-14m-inks-deal-with-uber/
Validated,4/17/2024,"$800,000","$2,000,000",,,https://www.geekwire.com/2024/digital-ad-content-generator-and-testing-service-validated-raises-more-cash/
Bayou Energy,4/10/2024,"$1,200,000","$1,200,000",Pre-Seed,,https://www.geekwire.com/2024/this-energy-startup-wants-to-make-utility-data-more-accessible-and-spur-creation-of-new-companies/
PairTree,4/9/2024,"$650,000","$7,850,000",,,https://www.geekwire.com/2024/pairtree-a-seattle-startup-that-facilitates-adoptions-raises-more-cash-to-fuel-expansion/
KredosAI,4/4/2024,,,,StartFast Ventures,https://www.geekwire.com/2024/seattle-startup-kredosai-raises-more-cash-to-help-companies-collect-late-payments/
ReadAI,4/2/2024,"$21,000,000","$32,000,000",,"Goodwater, Madrona",https://www.geekwire.com/2024/read-ai-raises-21m-from-goodwater-and-madrona-adds-ai-summaries-for-email-and-messaging/
Pollen Systems,4/2/2024,"$2,400,000",,,,https://www.geekwire.com/2024/pollen-systems-raises-2-4m-and-expands-global-reach-of-its-crop-analysis-platform/
TerraClear,4/1/2024,"$15,000,000","$53,000,000",A,Madrona Venture Group,https://www.geekwire.com/2024/ag-tech-startup-terraclear-raises-15m-to-grow-its-end-to-end-solution-for-ridding-fields-of-rocks/
Goodbill,3/26/2024,"$2,000,000","$5,400,000",Seed,,https://www.geekwire.com/2024/goodbill-raises-2m-and-expands-customer-base-to-unearth-and-challenge-medical-billing-errors/
Pandion,3/22/2024,"$41,500,000",,Series B,Revolution Growth,https://www.geekwire.com/2024/pandion-an-e-commerce-delivery-startup-led-by-amazon-air-founder-lands-41-5m/
SingleFile,3/19/2024,"$6,500,000","$15,000,000",,Foundry Group,https://www.geekwire.com/2024/compliance-software-firm-singlefile-lands-6-5m-as-corporate-transparency-act-creates-tailwinds/
Interlune,3/13/2024,"$18,000,000","$18,000,000",Seed,Seven Seven Six,https://www.geekwire.com/2024/interlune-helium-3-fusion-fuel-moon/
EchoNous,9/28/2022,"$57,000,000",,Series D,Kennedy Lewis Investment Management,https://www.geekwire.com/2022/startup-developing-a-hand-held-ultrasound-tool-for-the-bedside-lands-57m/
Rippl,9/28/2022,"$32,000,000",,Seed,Arch Venture Partners and General Catalyst,https://www.geekwire.com/2022/mental-health-startup-focused-on-seniors-launches-with-32m-backing-from-arch-venture-partners/
Artly,9/26/2022,"$8,300,000","$10,000,000",Pre-Series A,,https://www.geekwire.com/2022/robotic-coffee-barista-maker-led-by-ex-aws-engineer-raises-8-3m-to-open-more-retail-locations/
Cheq,9/21/2022,"$8,000,000",,Seed,WestRiver Group,https://www.geekwire.com/2022/seattle-startup-mobile-ordering-platform/
TrovaTrip,9/20/2022,"$15,000,000","$20,000,000",Series A,Madrona Venture Group,https://www.geekwire.com/2022/trovatrip-which-matches-travel-group-hosts-with-travelers-lands-15m/
Alitheon ,9/20/2022,"$10,000,000","$35,000,000",Series A,BMW i Ventures and Imagine Ventures,https://www.geekwire.com/2022/bmw-venture-fund-invests-in-seattle-area-startup-combating-counterfeits-with-authentication-tech/
Spot ,9/20/2022,"$5,500,000",,Seed,Freestyle,https://www.geekwire.com/2022/spot-a-seattle-metaverse-startup-for-hybrid-workforces-raises-5-5m/
Swiftly,9/19/2022,"$100,000,000",,Series C,BRV Capital Management,https://www.geekwire.com/2022/seattle-adds-another-unicorn-as-grocery-retail-tech-startup-swiftly-raises-100m/
Zócalo Health,9/19/2022,"$5,000,000",,Seed,"Animo, Virtue, and Vamos Ventures",https://www.geekwire.com/2022/amazon-care-vets-raise-5m-for-virtual-health-startup-focused-on-latino-patients/
Taqtile,9/16/2022,"$5,000,000",,,,https://www.geekwire.com/2022/taqtile-raises-5m-a-startup-that-sells-ar-enabled-job-training-tech/
Haptx,9/15/2022,"$23,000,000","$58,000,000",,AIS Global and Crescent Core Advisors,https://www.geekwire.com/2022/haptx-grabs-23m-in-new-funding-and-embraces-need-to-bring-touch-to-metaverse-with-its-gloves/
Modulous,9/12/2022,"$11,500,000",,Series A,,https://www.geekwire.com/2022/modulous-which-helps-developers-build-prefabricated-homes-raises-11-5m/
Cap Hill Brands,9/8/2022,"$100,000,000","$250,000,000",Series B,BlackRock,https://www.geekwire.com/2022/blackrock-leads-100m-round-for-cap-hill-brands-e-commerce-vets-acquire-35-brands-add-key-execs/
QA Wolf,9/8/2022,"$20,100,000","$20,100,000",,Inspired Capital,https://www.geekwire.com/2022/software-vetting-startup-qa-wolf-comes-out-of-stealth-with-20m-from-peter-thiel-and-others/
Stack,9/8/2022,"$2,700,000",,,,https://www.geekwire.com/2022/seattle-startup-helping-teens-learn-about-and-invest-in-crypto-raises-2-7m/
Spice AI,9/7/2022,"$13,500,000","$14,500,000",Seed,Madrona Venture Group,https://www.geekwire.com/2022/seattle-startup-raises-13-5m-to-help-developers-build-ai-driven-applications-on-the-blockchain/
98point6,9/1/2022,"$20,000,000",,,L Catterton and Activant Capital,https://www.geekwire.com/2022/telehealth-startup-98point6-raises-20m-inks-deal-with-health-system-to-license-tech/
Vega Cloud,9/30/2022,"$9,000,000",,,Album VC and Sun Mountain Capital,https://www.geekwire.com/2022/cloud-optimization-startup-led-by-2nd-watch-founder-lands-9m/
QorusDocs,10/4/2022,"$10,000,000","$18,000,000",,WestRiver,https://www.geekwire.com/2022/qorusdocs-which-helps-companies-create-and-manage-sales-proposals-raises-10m/
RevealDx,7/23/2024,"$4,250,000",,,,https://www.geekwire.com/2024/seattle-startup-revealdx-lands-4-2m-to-help-clinicians-diagnose-lung-cancer/
Deako,7/23/2024,"$3,400,000","$50,000,000",,Kinetic,https://www.geekwire.com/2024/smart-light-switch-startup-deako-raises-3-4m-to-meet-growing-market-demand/
Signify,7/19/2024,"$2,100,000","$2,100,000",Pre-seed,,https://www.geekwire.com/2024/seattle-vcs-invest-in-new-startup-using-ai-to-help-manufacturers-with-regulatory-requirements/
Momento,7/18/2024,"$15,000,000","$30,000,000",Series A,Bain Capital Ventures,https://www.geekwire.com/2024/momento-led-by-ex-aws-engineers-lands-15m-to-help-companies-ship-faster/
Markable.AI,7/16/2024,"$6,100,000",,,,https://www.geekwire.com/2024/markable-ai-launches-100m-ad-fund-for-creators-on-instagram-tiktok-and-other-social-platforms/
Haystack Robotics,7/11/2024,"$2,700,000",,,Agadia Systems,https://www.geekwire.com/2024/portland-startup-lands-2-7m-for-autonomous-robots-designed-to-disinfect-hotels-and-hospitals/
Juicer Energy,7/10/2024,,,,,https://www.geekwire.com/2024/former-offerup-and-auth0-ceos-lead-secretive-new-ev-charging-startup-with-high-powered-exec-team/
LeyLine,7/3/2024,,,,Primavera Venture Partners,https://www.geekwire.com/2024/ai-expert-and-film-vet-lead-new-seattle-startup-aiming-to-help-artists-accelerate-production/
Phaidra,7/2/2024,"$12,000,000","$60,500,000",,Index Ventures,https://www.geekwire.com/2024/phaidra-raises-12m-for-ai-software-that-helps-data-centers-boost-energy-efficiency/
RareCyte,6/27/2024,"$20,000,000",,,,https://rarecyte.com/news_and_events/press-release-june-27-2024/
Freightmate,6/27/2024,"$650,000",,Pre-seed,Wischoff Ventures,https://www.geekwire.com/2024/another-logistics-startup-emerges-in-seattle-as-former-amazon-flexport-execs-reveal-freightmate/
SDF Labs,6/26/2024,"$9,000,000",,,,https://www.geekwire.com/2024/data-warehousing-startup-sdf-led-by-microsoft-and-meta-vets-comes-out-of-stealth-mode/
Loti,6/26/2024,"$5,100,000",,Seed,FUSE,https://www.geekwire.com/2024/loti-a-seattle-startup-that-helps-public-figures-spot-and-squash-deepfakes-raises-5-1m/
Clearbrief,6/26/2024,"$4,000,000",,,Authentic Ventures; How Women Invest; Reign Ventures,https://www.geekwire.com/2024/clearbrief-which-uses-ai-to-help-lawyers-find-and-verify-facts-in-legal-docs-raises-4m/
Starform,6/25/2024,"$5,000,000",,,,https://www.bizjournals.com/seattle/news/2024/06/25/starform-metalstorm-fundraise-video-game-seattle.html
Topicflow,6/25/2024,"$1,800,000","$2,200,000",Seed,Founders' Co-op; Ascend,https://www.geekwire.com/2024/topicflow-raises-1-8m-to-rethink-performance-reviews-with-help-from-ai/
BoxedUp,6/24/2024,"$2,850,000",,Seed,,https://www.geekwire.com/2024/former-amazon-colleagues-raise-2-8m-to-help-equipment-rental-companies-run-online-stores/
Butterflies AI,6/18/2024,"$4,800,000",,Seed,Coatue,https://www.geekwire.com/2024/butterflies-takes-flight-with-4-8m-launches-social-media-platform-combining-ai-and-human-content/
InduPro,6/13/2024,"$85,000,000",,Series A,"The Column Group, Vida Ventures",https://www.prnewswire.com/news-releases/indupro-announces-85-million-series-a-financing-appoints-prakash-raman-phd-as-ceo-to-advance-next-generation-proximity-based-protein-therapeutics-for-the-treatment-of-cancer-and-autoimmune-diseases-302171386.html
Gradial,2/28/2024,"$5,400,000",,Seed,Madrona,https://www.geekwire.com/2024/spacex-and-microsoft-vets-raise-5-4m-for-gradial-a-seattle-startup-using-generative-ai-for-marketing/
Row Zero,2/28/2024,"$3,000,000",,Seed,,https://www.geekwire.com/2024/former-aws-engineers-raise-3m-to-take-on-tech-giants-with-worlds-fastest-spreadsheet/
Codified,2/27/2024,"$4,000,000",,Seed,"Madrona, Vine Ventures",https://www.geekwire.com/2024/ex-microsoft-manager-raises-4m-for-new-data-governance-startup-codified/
EigenLayer,2/22/2024,"$100,000,000",,B,Andreesen Horowitz,https://www.geekwire.com/2024/crypto-startup-eigenlayer-led-by-a-former-univ-of-washington-professor-raises-100m-from-a16z/
Healionics,2/22/2024,"$5,500,000",,,Keiretsu Capital,https://www.geekwire.com/2024/healionics-lands-5-5m-to-complete-human-trial-of-artificial-blood-vessel-for-dialysis-patients/
Finpilot,2/22/2024,"$4,000,000","$4,500,000",,Madrona,https://www.geekwire.com/2024/finpilot-a-seattle-startup-using-generative-ai-to-help-financial-analysts-with-research-raises-4m/
OpenTug,2/22/2024,"$3,100,000",,Seed,Entrada Ventures,https://www.geekwire.com/2024/maritime-marketplace-and-software-platform-opentug-raises-3-1m/
Planette,2/14/2024,"$2,400,000",,Seed,Audacious Ventures,https://www.geekwire.com/2024/techstars-seattle-startup-planette-raises-2-4m-for-ai-boosted-weather-and-climate-prediction-tech/
ProfoundBio,2/13/2024,"$112,000,000","$250,000,000",B,Ally Bridge Group,https://www.geekwire.com/2024/profoundbio-raises-112m-to-support-clinical-stage-oncology-pipeline/
Cimba.ai,2/6/2024,"$1,250,000",,Pre-seed,Ripple Ventures,https://www.geekwire.com/2024/ex-amazon-and-airbnb-engineers-raise-1-25m-for-enterprise-ai-agent-developer-cimba-ai/
Medsense,2/2/2024,"$500,000",,,HealthX Ventures,https://www.geekwire.com/2024/medsense-health-which-sells-sensors-for-remote-medication-management-raises-500k/
Digs,1/25/2024,"$7,000,000","$14,000,000",Seed,Oregon Venture Fund; Legacy Capital Ventures,https://www.geekwire.com/2024/home-building-software-startup-digs-lands-7m/
Nomad Go,1/24/2024,"$1,500,000","$5,600,000",,,https://www.geekwire.com/2024/nomad-go-raises-1-5m-to-power-computer-vision-software-that-automatically-counts-inventory/
Betadapp,1/23/2024,"$17,000,000",,,,https://betakit.com/beatdapp-unveils-22-9-million-cad-partnerships-with-universal-music-group-soundexchange-napster/
Oleria,1/18/2024,"$33,000,000",,Series A,Evolution Equity Partners,https://www.geekwire.com/2024/seattle-cybersecurity-startup-oleria-raises-33m/
Avante,1/12/2024,"$10,000,000","$10,000,000",Seed,Fuse,https://www.geekwire.com/2024/new-seattle-startup-avante-raises-10m-led-by-former-olive-ai-execs-and-ex-amperity-ceo/
Steller,1/11/2024,"$5,000,000","$42,000,000",Series B,Pioneer Venture Partners,https://www.geekwire.com/2024/travel-planning-startup-led-by-longtime-tech-investor-combines-human-insight-and-ai/
ExtraHop,1/9/2024,"$100,000,000",,,,https://www.geekwire.com/2024/cybersecurity-company-extrahop-lands-100m-names-new-execs/
Symbiosys,1/9/2024,"$9,000,000","$11,500,000",Series A,Fuse,https://www.geekwire.com/2024/symbiosys-an-adtech-startup-led-by-former-google-and-microsoft-exec-raises-9m/
Charmed,1/9/2024,"$500,000",,,Tacoma Venture Fund,https://www.geekwire.com/2024/seattle-gaming-startup-charmed-lands-500k-and-reveals-new-3d-character-design-tool/
InVivo Biosystems,1/4/2024,"$3,000,000",,,Rogue Venture Partners,https://www.bizjournals.com/portland/inno/stories/fundings/2024/01/04/eugene-biotech-using-crispr-raises-3m-round.html
Olamedi,12/27/2023,"$80,000",,,Jamie McAvity,https://www.geekwire.com/2023/seattle-startup-olamedi-building-platform-to-automate-health-clinic-communications/
Shelpful,12/15/2023,"$3,000,000","$3,000,000",Seed,Apollo Projects,https://www.geekwire.com/2023/sam-altmans-venture-fund-invests-3m-in-startup-using-humans-and-ai-to-keep-people-on-task/
Fabric,2/24/2022,"$140,000,000","$293,500,000",C,SoftBank,https://www.geekwire.com/2022/e-commerce-startup-fabric-led-by-amazon-vets-raises-140m-at-1-5b-valuation-from-softbank-and-others-to-pursue-absurd-opportunity/
Xplore,2/24/2022,"$16,200,000",,,,https://www.geekwire.com/2022/xplore-says-its-brought-in-16-2m-so-far-for-its-space-as-a-service-satellite-program/
Operto,2/22/2022,"$12,000,000",,A,Fuse,https://www.geekwire.com/2022/seattle-firm-fuse-leads-12m-round-for-vancouver-hospitality-tech-startup-operto/
MontyCloud,2/21/2022,"$3,000,000","$6,000,000",,,https://www.geekwire.com/2022/cloud-operations-startup-montycloud-lands-3m/
Temporal,2/16/2022,"$103,000,000","$120,000,000",B,Index Ventures,https://www.geekwire.com/2022/temporal-is-a-unicorn-developer-productivity-startup-lands-120m-at-1-5b-valuation/
Magnolia Medical,2/16/2022,"$46,000,000","$115,000,000",,"RTW Investments, LP, Sectoral Asset Management",https://www.geekwire.com/2022/reducing-contamination-during-blood-tests-magnolia-medical-lands-46m-to-fuel-growth/
Showdigs,2/15/2022,"$7,400,000","$10,400,000",Seed,MetaPop,https://www.geekwire.com/2022/real-estate-startup-showdigs-raises-7-4m-as-it-looks-to-grow-team-and-expand-across-u-s/
Kevala,2/14/2022,"$12,100,000","$16,100,000",A,Cercano Management (fka Vulcan Capital),https://www.geekwire.com/2022/kevala-lands-12-1m-to-address-worker-shortages-for-healthcare-companies/
Proxi,2/14/2022,"$1,200,000",,Seed,Graham & Walker,https://www.geekwire.com/2022/proxi-morphs-from-trick-or-treating-tool-to-an-ambitious-mapping-startup-that-just-raised-1-2m/
Curevo,2/11/2022,"$60,000,000",,A,RA Capital Management,https://www.geekwire.com/2022/vaccine-startup-curevo-takes-on-pharma-giant-gsk-raises-60m-for-trial-of-shingles-shot/
Mystery,2/10/2022,"$18,500,000","$22,750,000",A,Greylock Partners,https://www.geekwire.com/2022/perfect-pivot-mystery-hits-100m-valuation-after-shift-from-date-facilitator-to-employee-engagement/
Gandeeva Therpeutics,2/8/2022,"$40,000,000",,A,"Lux Capital, Leaps by Bayer",https://www.geekwire.com/2022/funding-news-materials-maker-lands-14m-cybersecurity-startup-raises-4-5m-and-more/
Modumetal,2/8/2022,"$14,000,000",,,Atlas Innovate and Rotor Capital,https://www.geekwire.com/2022/funding-news-materials-maker-lands-14m-cybersecurity-startup-raises-4-5m-and-more/
Phylos,2/8/2022,"$7,600,000",,,Merida Capital Holdings ,https://www.geekwire.com/2022/funding-news-materials-maker-lands-14m-cybersecurity-startup-raises-4-5m-and-more/
Allumia,2/8/2022,"$7,500,000","$10,000,000",A,JW Asset Management,https://www.geekwire.com/2022/energy-efficiency-company-offering-no-money-down-commercial-upgrades-raises-7-5m/
Violett,2/28/2022,"$400,000",,,,https://www.geekwire.com/2022/former-dod-nuclear-engineer-leads-new-seattle-startup-developing-air-purification-technology/
PTO Exchange,3/3/2022,"$5,400,000","$9,000,000",Seed II,TTV Capital,https://www.geekwire.com/2022/funding-news-microsoft-vets-raise-12m-for-round-pto-exchange-lands-5m-and-more/
Round,3/3/2022,"$12,000,000","$12,000,000",Seed,Fuse,https://www.geekwire.com/2022/funding-news-microsoft-vets-raise-12m-for-round-pto-exchange-lands-5m-and-more/
 Sironix Renewables ,8/30/2023,"$1,400,000","$4,800,000",,,https://www.geekwire.com/2023/seattle-clean-tech-startup-lands-1-4m-for-eco-friendly-soy-based-suds-for-shampoos-detergents/
Irreverent Labs,8/24/2023,,,,Samsung Next,https://www.geekwire.com/2023/seattle-startup-irreverent-labs-lands-cash-from-samsung-after-pivoting-to-ai-video-generator/
Electric Era,8/22/2023,"$11,500,000","$19,000,000",Series A,HSBC Asset Management,https://www.geekwire.com/2023/ev-charging-startup-electric-era-lands-11-5m-to-deploy-ai-and-battery-supported-stations/
